date,AAPL,BAC,BRK.B,HON,JNJ,JPM,MRK,MSFT,NVDA,RTX,UNH,UPS
2022-01-28,168.876,44.5261,312.9,196.8957,166.2322,141.8947,77.8685,304.5946,228.1536,87.7859,458.478,190.3409
2022-02-04,171.1366,46.8655,314.99,186.6702,166.0774,147.6533,75.6161,302.3022,242.9277,90.3904,475.3096,215.8221
2022-02-11,167.4139,46.516,319.14,182.274,162.2842,148.9696,73.7681,291.5318,239.2317,92.5868,470.3516,204.973
2022-02-18,166.0836,44.6134,314.8,177.5365,159.1007,147.2468,73.5082,285.0953,236.165,90.7403,460.1995,202.4671
2022-02-25,163.6514,43.701,319.24,184.7923,161.6718,143.2109,73.4601,294.3829,241.3094,95.8725,468.0103,203.0377
2022-03-04,161.9836,39.9467,325.34,183.6848,165.0611,130.0774,74.9135,287.0063,229.1504,97.3088,490.5378,203.4632
2022-03-11,153.605,39.3419,326.6,178.5985,164.9345,124.7446,75.3274,277.3127,220.7981,94.7,476.4409,197.1868
2022-03-18,162.7877,41.8489,342.41,190.8292,170.2813,135.594,76.821,297.4722,264.2883,95.2862,499.3814,212.544
2022-03-25,173.4496,42.6586,358.76,193.8378,172.3071,137.3555,78.9865,300.6902,276.667,100.0838,506.1994,208.2599
2022-04-01,173.0426,39.8979,351.88,192.113,173.544,130.9581,81.1034,306.3737,266.8759,97.8755,505.7652,199.8366
2022-04-08,168.8533,38.698,353.1,186.3603,177.3715,130.1656,85.1431,294.0463,230.9787,98.1003,538.6909,184.6825
2022-04-14,164.0882,36.6495,344.33,191.2898,175.2094,122.9791,84.3954,277.075,212.3857,101.8816,527.6992,181.8297
2022-04-22,160.6137,36.6397,335.56,186.8209,176.8066,123.6519,82.1425,271.3321,194.9717,98.1882,514.004,180.9883
2022-04-29,156.5038,34.8058,322.83,189.6433,175.7548,116.3875,86.1238,274.7878,185.3005,92.736,501.779,174.0544
2022-05-06,156.3648,36.5324,318.88,191.525,171.7714,120.6389,85.8325,272.0252,186.5794,93.1171,492.9679,173.9964
2022-05-13,146.254,34.3083,310.36,190.6264,172.2389,116.1242,87.7941,258.5492,176.8982,89.8145,478.9372,173.6482
2022-05-20,136.7894,33.0304,304.05,186.9031,172.3655,114.4178,90.8432,250.6837,166.7875,88.553,479.2628,166.8209
2022-05-27,148.7692,36.113,319.11,193.4041,177.479,128.0009,90.3868,271.2101,187.9381,95.0707,500.3582,178.0274
2022-06-03,144.534,35.5053,310.94,191.897,172.9022,126.9185,87.3085,268.014,187.0289,94.6971,479.1444,180.9144
2022-06-10,136.332,32.5425,291.71,183.4852,169.1093,116.5727,84.6575,251.1105,169.6213,93.8713,478.1775,168.7813
2022-06-17,130.7944,31.3161,268.08,177.0039,166.0809,110.2151,82.8426,245.8102,158.6889,87.3734,447.6548,166.8501
2022-06-24,140.8357,31.6987,278.28,177.3191,178.6551,114.3983,91.1738,265.7112,171.1402,92.6032,490.8101,178.7785
2022-07-01,138.1216,30.9629,277.5,172.4828,175.9403,111.2097,90.4788,257.6516,145.1284,95.3754,512.3581,180.4268
2022-07-08,146.1844,31.1886,280.83,170.7393,174.7251,112.5021,90.8312,265.6715,158.2692,93.5076,513.5761,180.8267
2022-07-15,149.2961,31.6399,278.48,170.2074,174.6761,111.115,92.9654,254.8128,157.5097,89.6835,524.5877,178.086
2022-07-22,153.1933,32.7975,285.93,178.7473,168.6879,112.8956,88.2173,258.4258,173.0689,92.613,516.329,183.343
2022-07-29,161.5643,33.1703,300.6,189.5724,171.04,113.4859,87.4635,278.6544,181.503,91.63,537.055,190.0826
2022-08-05,164.6165,33.3175,292.07,189.3853,167.698,113.8794,85.574,280.8082,189.7572,91.453,529.846,191.9064
2022-08-12,171.3365,35.6132,301.55,198.833,162.0039,120.1459,89.1082,289.7414,186.9591,93.3995,538.4018,201.3184
2022-08-19,170.7591,34.8088,297.28,199.516,165.9339,116.7028,90.1459,284.6286,178.3652,92.35,542.9767,204.7967
2022-08-26,162.8942,33.3862,289.96,191.1022,162.08,112.8071,87.3851,266.6647,162.4863,92.4686,524.0926,195.4623
2022-09-02,155.1188,33.0131,277.67,184.9948,160.5704,111.8627,84.4188,254.6986,136.3745,86.6053,511.3183,192.6325
2022-09-09,156.6719,34.5043,285.77,189.7461,163.5008,117.234,85.5055,263.054,143.8113,87.0502,520.8643,195.2265
2022-09-16,150.0315,33.6945,274.81,175.5516,165.3656,115.178,86.559,243.4388,131.9262,84.2421,517.5664,173.6296
2022-09-23,149.7627,31.3343,267.77,169.6421,164.4973,107.3669,85.6314,236.6551,125.1089,81.1078,510.2055,161.4654
2022-09-30,137.5869,29.8234,267.02,165.2768,161.1821,102.8023,84.9801,231.6618,121.3405,80.9397,501.6923,158.7241
2022-10-07,139.4685,30.3665,269.04,169.6718,158.0642,105.2027,86.4406,232.9946,120.7107,83.0655,501.5035,156.3659
2022-10-14,137.7661,31.3047,272.67,172.3939,162.2674,110.3745,90.9599,227.3448,112.2242,81.6615,509.7287,158.8616
2022-10-21,146.6167,34.5142,282.51,180.9562,166.4608,121.3336,94.4037,240.8327,124.6091,87.5446,530.1921,162.6642
2022-10-28,155.0491,35.7288,299.63,202.8519,172.5386,125.1553,99.4362,234.616,138.2836,94.0111,547.586,164.2559
2022-11-04,137.9951,36.3312,287.47,205.7423,169.1938,129.7216,97.887,220.213,141.5022,94.1495,534.6027,162.8017
2022-11-11,149.2836,37.931,309.72,211.6124,166.9936,134.3077,96.6634,245.7962,163.2034,92.5971,518.6193,176.6282
2022-11-18,150.8692,36.7262,310.76,213.4029,173.8509,132.8584,102.8505,240.6125,154.0271,94.8365,526.4868,177.4014
2022-11-25,147.698,37.2299,317.43,218.8939,176.0,135.7371,106.0772,246.8667,162.6336,96.9349,534.0563,180.9202
2022-12-02,147.3989,35.8445,316.15,217.929,177.6285,134.1687,108.5836,254.3777,168.731,100.4555,534.2451,187.73
2022-12-09,141.7646,32.1687,306.39,210.5181,174.5105,131.1907,107.3402,244.8019,169.9808,97.7305,537.2742,176.083
2022-12-16,134.1359,31.4931,300.0,208.6381,174.441,128.3418,108.4598,244.0737,165.6815,97.8002,521.8296,176.6381
2022-12-23,131.6595,32.2581,306.49,212.7464,176.2383,130.3172,111.1018,238.1288,152.0339,98.7549,529.4124,175.4585
2022-12-30,129.7324,32.9039,308.9,213.1741,175.4141,133.1165,110.198,239.216,146.1149,100.366,528.2864,172.3163
